site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
A,113,789,Zero-calorie,636,185.07910906298002,-32.079109062980024,603.92089093702,preint
A,114,780,Zero-calorie,632.2857142857142,81.29539170506914,66.41889400921661,698.7046082949308,preint
A,115,269,Zero-calorie,636.5714285714286,-376.8522273425499,9.28079877112134,645.8522273425499,preint
A,116,311,Zero-calorie,602.7142857142857,-395.6351766513057,103.92089093702009,706.6351766513058,preint
A,117,750,Zero-calorie,591.4285714285714,141.4662058371736,17.105222734254994,608.5337941628264,preint
A,118,790,Zero-calorie,592,189.1758832565284,8.824116743471563,600.8241167434716,preint
A,119,530,Zero-calorie,584.5714285714286,175.47081413210446,-230.04224270353302,354.52918586789554,preint
A,120,710,Zero-calorie,571.5714285714286,185.07910906298002,-46.65053763440858,524.92089093702,preint
A,121,784,Zero-calorie,587.7142857142857,81.29539170506914,114.99032258064517,702.7046082949308,preint
A,122,217,Zero-calorie,590.8571428571428,-376.8522273425499,2.9950844854071192,593.8522273425499,preint
A,123,220,Zero-calorie,640.5714285714286,-395.6351766513057,-24.9362519201228,615.6351766513058,preint
A,124,863,Zero-calorie,665.8571428571428,141.4662058371736,55.67665130568366,721.5337941628264,cal
A,125,812,Zero-calorie,675.4285714285714,189.1758832565284,-52.60445468509988,622.8241167434716,cal
A,126,878,Zero-calorie,677.2857142857143,175.47081413210446,25.2434715821812,702.5291858678955,cal
A,127,887,Zero-calorie,675,185.07910906298002,26.920890937019976,701.92089093702,cal
A,128,851,Zero-calorie,666.8571428571429,81.29539170506914,102.84746543778795,769.7046082949308,cal
A,129,230,Zero-calorie,668.4285714285714,-376.8522273425499,-61.57634408602155,606.8522273425499,cal
A,130,204,Zero-calorie,668.5714285714286,-395.6351766513057,-68.9362519201228,599.6351766513058,cal
A,131,806,Zero-calorie,652.5714285714286,141.4662058371736,11.962365591397884,664.5337941628264,cal
A,132,823,Zero-calorie,626.2857142857142,189.1758832565284,7.538402457757343,633.8241167434716,cal
A,133,879,Zero-calorie,625.1428571428571,175.47081413210446,78.38632872503842,703.5291858678955,cal
A,134,775,Zero-calorie,626.8571428571428,185.07910906298002,-36.9362519201228,589.92089093702,cal
A,135,667,Zero-calorie,621.7142857142858,81.29539170506914,-36.009677419354944,585.7046082949308,cal
A,136,222,Zero-calorie,612.2857142857143,-376.8522273425499,-13.43348694316444,598.8522273425499,cal
A,137,216,Zero-calorie,598.8571428571428,-395.6351766513057,12.77803379416298,611.6351766513058,cal
A,138,770,Zero-calorie,612.4285714285713,141.4662058371736,16.105222734255108,628.5337941628264,cal
A,139,757,Zero-calorie,625.2857142857142,189.1758832565284,-57.46159754224266,567.8241167434716,cal
A,140,785,Zero-calorie,621.8571428571428,175.47081413210446,-12.327956989247241,609.5291858678955,cal
A,141,870,Zero-calorie,617.2857142857142,185.07910906298002,67.63517665130576,684.92089093702,cal
A,142,757,Zero-calorie,619.2857142857142,81.29539170506914,56.418894009216615,675.7046082949308,cal
A,143,198,Zero-calorie,612.8571428571429,-376.8522273425499,-38.004915514592994,574.8522273425499,cal
A,144,184,Zero-calorie,608.7142857142858,-395.6351766513057,-29.079109062980024,579.6351766513058,cal
A,145,784,Zero-calorie,605.2857142857142,141.4662058371736,37.24807987711222,642.5337941628264,wash
A,146,712,Zero-calorie,608.1428571428572,189.1758832565284,-85.31874039938566,522.8241167434716,wash
A,147,756,Zero-calorie,613.4285714285714,175.47081413210446,-32.89938556067591,580.5291858678955,wash
A,148,846,Zero-calorie,616.7142857142858,185.07910906298002,44.2066052227342,660.92089093702,wash
A,149,777,Zero-calorie,611.2857142857142,81.29539170506914,84.41889400921661,695.7046082949308,wash
A,150,235,Zero-calorie,626,-376.8522273425499,-14.147772657450105,611.8522273425499,wash
A,151,207,Zero-calorie,628.4285714285713,-395.6351766513057,-25.793394777265576,602.6351766513058,wash
A,152,746,Zero-calorie,630.8571428571428,141.4662058371736,-26.323348694316337,604.5337941628264,excer
A,153,815,Zero-calorie,626.7142857142857,189.1758832565284,-0.8901689708141021,625.8241167434716,excer
A,154,773,Zero-calorie,624.4285714285714,175.47081413210446,-26.89938556067591,597.5291858678955,excer
A,155,863,Zero-calorie,621.2857142857142,185.07910906298002,56.635176651305756,677.92089093702,excer
A,156,748,Zero-calorie,623.4285714285714,81.29539170506914,43.27603686635939,666.7046082949308,excer
A,157,219,Zero-calorie,626,-376.8522273425499,-30.147772657450105,595.8522273425499,excer
A,158,185,Zero-calorie,629.8571428571429,-395.6351766513057,-49.221966205837134,580.6351766513058,excer
A,159,761,Zero-calorie,636.4285714285714,141.4662058371736,-16.894777265745006,619.5337941628264,excer
A,160,833,Zero-calorie,639.7142857142858,189.1758832565284,4.109831029185784,643.8241167434716,excer
A,161,800,Zero-calorie,645,175.47081413210446,-20.470814132104465,624.5291858678955,excer
A,162,909,Zero-calorie,647.2857142857142,185.07910906298002,76.63517665130576,723.92089093702,excer
A,163,771,Zero-calorie,655.8571428571429,81.29539170506914,33.847465437787946,689.7046082949308,excer
A,164,256,Zero-calorie,647,-376.8522273425499,-14.147772657450105,632.8522273425499,excer
A,165,201,Zero-calorie,651.7142857142858,-395.6351766513057,-55.079109062980024,596.6351766513058,excer
A,166,821,Zero-calorie,633,141.4662058371736,46.53379416282644,679.5337941628264,excer
A,167,771,Zero-calorie,614,189.1758832565284,-32.17588325652844,581.8241167434716,excer
A,168,833,Zero-calorie,607.8571428571428,175.47081413210446,49.67204301075276,657.5291858678955,excer
A,169,778,Zero-calorie,598.4285714285713,185.07910906298002,-5.507680491551355,592.92089093702,excer
A,170,638,Zero-calorie,583.4285714285713,81.29539170506914,-26.723963133640495,556.7046082949308,excer
A,171,213,Zero-calorie,599.2857142857142,-376.8522273425499,-9.433486943164326,589.8522273425499,excer
A,172,135,Zero-calorie,602.5714285714286,-395.6351766513057,-71.9362519201228,530.6351766513058,excer
A,173,716,Zero-calorie,609.5714285714286,141.4662058371736,-35.037634408602116,574.5337941628264,wash
A,174,882,Zero-calorie,623.4285714285716,189.1758832565284,69.3955453149,692.8241167434716,wash
A,175,856,Zero-calorie,632,175.47081413210446,48.529185867895535,680.5291858678955,wash
A,176,827,Zero-calorie,650.4285714285713,185.07910906298002,-8.507680491551355,641.92089093702,wash
A,177,735,Zero-calorie,656.4285714285713,81.29539170506914,-2.7239631336404955,653.7046082949308,wash
A,178,273,Zero-calorie,646,-376.8522273425499,3.852227342549895,649.8522273425499,wash
A,179,264,Zero-calorie,637.2857142857142,-395.6351766513057,22.349462365591535,659.6351766513058,wash
A,180,758,Zero-calorie,635,141.4662058371736,-18.46620583717356,616.5337941628264,both
A,181,809,Zero-calorie,639.5714285714286,189.1758832565284,-19.74731182795699,619.8241167434716,both
A,182,795,Zero-calorie,634.142857142857,175.47081413210446,-14.613671274961462,619.5291858678955,both
A,183,811,Zero-calorie,624,185.07910906298002,1.9208909370199763,625.92089093702,both
A,184,767,Zero-calorie,629.9999999999999,81.29539170506914,55.70460829493095,685.7046082949308,both
A,185,235,Zero-calorie,628.7142857142857,-376.8522273425499,-16.86205837173577,611.8522273425499,both
A,186,193,Zero-calorie,628.4285714285714,-395.6351766513057,-39.79339477726569,588.6351766513058,both
A,187,800,Zero-calorie,642,141.4662058371736,16.53379416282644,658.5337941628264,both
A,188,800,Zero-calorie,643.7142857142857,189.1758832565284,-32.8901689708141,610.8241167434716,both
A,189,793,Zero-calorie,644.4285714285714,175.47081413210446,-26.89938556067591,617.5291858678955,both
A,190,906,Zero-calorie,643.2857142857142,185.07910906298002,77.63517665130576,720.92089093702,both
A,191,779,Zero-calorie,643.2857142857142,81.29539170506914,54.418894009216615,697.7046082949308,both
A,192,240,Zero-calorie,646.5714285714284,-376.8522273425499,-29.719201228878546,616.8522273425499,both
A,193,185,Zero-calorie,660,-395.6351766513057,-79.36482334869424,580.6351766513058,both
A,194,800,Zero-calorie,657.2857142857142,141.4662058371736,1.2480798771122181,658.5337941628264,both
A,195,823,Zero-calorie,656.2857142857143,189.1758832565284,-22.46159754224277,633.8241167434716,both
A,196,887,Zero-calorie,656.8571428571428,175.47081413210446,54.67204301075276,711.5291858678955,both
A,197,887,Zero-calorie,663.5714285714287,185.07910906298002,38.34946236559131,701.92089093702,both
A,198,772,Zero-calorie,662.7142857142857,81.29539170506914,27.99032258064517,690.7046082949308,both
A,199,244,Zero-calorie,666.2857142857141,-376.8522273425499,-45.43348694316421,620.8522273425499,both
A,200,232,Zero-calorie,656.5714285714284,-395.6351766513057,-28.936251920122686,627.6351766513058,both
A,201,794,Zero-calorie,650.2857142857142,141.4662058371736,2.248079877112218,652.5337941628264,wash
A,202,848,Zero-calorie,639.4285714285714,189.1758832565284,19.39554531490012,658.8241167434716,wash
A,203,819,Zero-calorie,635.9999999999999,175.47081413210446,7.529185867895649,643.5291858678955,wash
A,204,843,Zero-calorie,631,185.07910906298002,26.920890937019976,657.92089093702,wash
A,205,696,Zero-calorie,628.7142857142857,81.29539170506914,-14.00967741935483,614.7046082949308,wash
A,206,220,Zero-calorie,636.8571428571429,-376.8522273425499,-40.004915514592994,596.8522273425499,wash
A,207,197,Zero-calorie,641.7142857142857,-395.6351766513057,-49.07910906297991,592.6351766513058,wash
A,208,778,Zero-calorie,643.1428571428571,141.4662058371736,-6.6090629800306715,636.5337941628264,follow
A,209,905,Zero-calorie,650.8571428571428,189.1758832565284,64.96697388632879,715.8241167434716,follow
A,210,853,Zero-calorie,644.8571428571428,175.47081413210446,32.67204301075276,677.5291858678955,follow
A,211,853,Zero-calorie,644.5714285714284,185.07910906298002,23.349462365591535,667.92089093702,follow
A,212,750,Zero-calorie,643.1428571428571,81.29539170506914,25.561751152073725,668.7046082949308,follow
A,213,178,Zero-calorie,629.9999999999999,-376.8522273425499,-75.14777265744999,554.8522273425499,follow
A,214,195,Zero-calorie,623.4285714285714,-395.6351766513057,-32.79339477726569,590.6351766513058,follow
A,215,768,Zero-calorie,622.2857142857142,141.4662058371736,4.248079877112218,626.5337941628264,follow
A,216,813,Zero-calorie,629.1428571428571,189.1758832565284,-5.318740399385547,623.8241167434716,follow
A,217,807,Zero-calorie,628.2857142857142,175.47081413210446,3.2434715821813143,631.5291858678955,follow
A,218,845,Zero-calorie,627.9999999999999,185.07910906298002,31.92089093702009,659.92089093702,follow
A,219,798,Zero-calorie,NA,81.29539170506914,NA,716.7046082949308,follow
A,220,172,Zero-calorie,NA,-376.8522273425499,NA,548.8522273425499,follow
A,221,193,Zero-calorie,NA,-395.6351766513057,NA,588.6351766513058,follow
B,14,134,Zero-calorie,NA,48.50077912938574,NA,85.49922087061427,preint
B,15,207,Zero-calorie,NA,25.131321001306922,NA,181.86867899869307,preint
B,16,154,Zero-calorie,NA,29.463305519252035,NA,124.53669448074797,preint
B,17,55,Zero-calorie,138.28571428571428,-83.99675781642705,0.7110435307127716,138.99675781642705,preint
B,18,53,Zero-calorie,155.14285714285714,-87.58789082135317,-14.554966321503969,140.58789082135317,preint
B,19,159,Zero-calorie,162.71428571428572,35.90472001608525,-39.61900573037097,123.09527998391475,preint
B,20,206,Zero-calorie,174,32.584522971750275,-0.5845229717502889,173.4154770282497,preint
B,21,252,Zero-calorie,174.42857142857144,48.50077912938574,29.07064944204282,203.49922087061427,preint
B,22,260,Zero-calorie,173.71428571428572,25.131321001306922,61.15439328440735,234.86867899869307,dismes
B,23,233,Zero-calorie,178.7142857142857,29.463305519252035,24.822408766462274,203.53669448074797,dismes
B,24,58,Zero-calorie,181.14285714285714,-83.99675781642705,-39.14609932643009,141.99675781642705,dismes
B,25,48,Zero-calorie,182.14285714285714,-87.58789082135317,-46.55496632150397,135.58789082135317,dismes
B,26,194,Zero-calorie,181.28571428571428,35.90472001608525,-23.19043430179954,158.09527998391474,dismes
B,27,223,Zero-calorie,184,32.584522971750275,6.415477028249711,190.4154770282497,dismes
B,28,259,Zero-calorie,182.71428571428572,48.50077912938574,27.784935156328544,210.49922087061427,dismes
B,29,254,Zero-calorie,184.2857142857143,25.131321001306922,44.582964712978765,228.86867899869307,dismes
B,30,252,Zero-calorie,181.42857142857142,29.463305519252035,41.10812305217655,222.53669448074797,dismes
B,31,49,Zero-calorie,179.42857142857142,-83.99675781642705,-46.43181361214437,132.99675781642705,dismes
B,32,59,Zero-calorie,172.57142857142856,-87.58789082135317,-25.983537750075385,146.58789082135317,dismes
B,33,174,Zero-calorie,166.85714285714283,35.90472001608525,-28.761862873228097,138.09527998391474,dismes
B,34,209,Zero-calorie,166.57142857142856,32.584522971750275,9.844048456821156,176.4154770282497,dismes
B,35,211,Zero-calorie,167.14285714285714,48.50077912938574,-4.643636272242873,162.49922087061427,dismes
B,36,214,Zero-calorie,166.28571428571428,25.131321001306922,22.582964712978793,188.86867899869307,dismes
B,37,250,Zero-calorie,171.57142857142858,29.463305519252035,48.965265909319385,220.53669448074797,dismes
B,38,53,Zero-calorie,176.7142857142857,-83.99675781642705,-39.717527897858645,136.99675781642705,dismes
B,39,53,Zero-calorie,178.1428571428571,-87.58789082135317,-37.55496632150394,140.58789082135317,dismes
B,40,211,Zero-calorie,152.7142857142857,35.90472001608525,22.380994269629042,175.09527998391474,dismes
B,41,245,Zero-calorie,136,32.584522971750275,76.41547702824971,212.4154770282497,dismes
B,42,221,Zero-calorie,134.71428571428572,48.50077912938574,37.784935156328544,172.49922087061427,dismes
B,43,36,Zero-calorie,133.71428571428572,25.131321001306922,-122.84560671559265,10.868678998693078,wash
B,44,133,Zero-calorie,136,29.463305519252035,-32.46330551925203,103.53669448074797,wash
B,45,44,Zero-calorie,130.85714285714283,-83.99675781642705,-2.8603850407157836,127.99675781642705,wash
B,46,46,Zero-calorie,129.7142857142857,-87.58789082135317,3.873605107067476,133.58789082135317,wash
B,47,227,Zero-calorie,152.14285714285714,35.90472001608525,38.9524228410576,191.09527998391474,wash
B,48,209,Zero-calorie,162.57142857142856,32.584522971750275,13.844048456821156,176.4154770282497,wash
B,49,213,Zero-calorie,164.14285714285714,48.50077912938574,0.35636372775712744,164.49922087061427,wash
B,50,193,Zero-calorie,167.1428571428571,25.131321001306922,0.7258218558359602,167.86867899869307,dis
B,51,206,Zero-calorie,165.85714285714286,29.463305519252035,10.679551623605107,176.53669448074797,dis
